val_error,train_error
0.66328125,0.8502199054
0.344921875,0.6784076691
0.452734375,0.0582954884
0.417578125,0.1105489731
0.54765625,0.7767332196
0.257421875,0.2835232019
0.46015625,0.5819681883
0.420703125,0.3705583513
0.454296875,0.4767186642
0.44375,0.1025122032
0.469140625,0.6066657305
0.5515625,0.5169858932
0.414453125,0.2711873055
0.386328125,0.0582651123
0.346484375,0.3866634369
0.67109375,0.8832315207
0.44609375,0.4442565441
0.719921875,0.9001488686
0.425390625,0.5806446671
0.396875,0.0819187239
0.519921875,0.108956039
0.661328125,0.8364659548
0.390234375,0.3838778436
0.463671875,0.395262897
0.405859375,0.6246616244
0.723046875,0.9000573754
0.665234375,0.8853453994
0.40078125,0.0226240885
0.38671875,0.813103199
0.451953125,0.5719696879
0.566796875,0.8111940026
0.44609375,0.5915418267
0.4828125,0.3622186482
0.583203125,0.6535477638
0.4265625,0.269467026
0.721484375,0.8991948366
0.45390625,0.587915957
0.449609375,0.4611625671
0.4375,0.6910998225
0.53046875,0.0628726408
0.42734375,0.2988584936
0.5125,0.5827450156
0.5140625,0.3661439717
0.514453125,0.2982697487
0.47734375,0.4490754604
0.561328125,0.320884496
0.456640625,0.627671957
0.4203125,0.4225506186
0.401171875,0.0002885298
0.384375,0.3362957537
0.450390625,0.5993216634
0.625,0.8192767501
0.540234375,0.7133461833
0.33125,0.6349961758
0.401171875,0.6699370742
0.425390625,0.3521839678
0.523046875,0.6687327623
0.4484375,0.0073129274
0.41015625,0.5874946713
0.48828125,0.1100715995
0.541015625,0.6501464844
0.386328125,0.3095076382
0.546875,0.6660775542
0.3546875,0.0088221598
0.716796875,0.9005674124
0.417578125,0.6127291322
0.365625,0.6986732483
0.7296875,0.8995328546
0.36328125,0.4243012369
0.503515625,0.3555575311
0.453515625,0.8770555258
0.440234375,0.7247507572
0.340234375,0.1270726621
0.336328125,0.4924624264
0.43828125,0.3018707335
0.3640625,0.0613696314
0.551171875,0.5710231066
0.412890625,0.3131899834
0.481640625,0.7848533392
0.458203125,0.6942207217
0.3046875,0.4401423335
0.729296875,0.9007149935
0.435546875,0.8037483096
0.426953125,0.2198044509
0.59140625,0.777726531
0.483203125,0.7353106737
0.731640625,0.9000596404
0.374609375,0.3892489374
0.478515625,0.0491680503
0.439453125,0.3679670393
0.7125,0.8788607717
0.326953125,0.4352626503
0.3921875,0.5123974085
0.435546875,0.0106144715
0.50703125,0.4565686882
0.3578125,0.1969424486
0.72890625,0.8974131346
0.398046875,0
0.441796875,0.6233330965
0.31015625,0.1527206749
0.327734375,0.0005770597
0.3625,0.2251369804
0.447265625,0.0370533057
0.3984375,0.0188038908
0.40234375,0.2608309686
0.516015625,0.5702697039
0.591015625,0.7697610259
0.419140625,0.4245613515
0.429296875,0.0123760216
0.7046875,0.8480620384
0.409375,0.4052699506
